"reference_no","aff_country","samp_country"
85481,"Jordan","Jordan"
85481,"Germany","Jordan"
87164,"Sweden","Norway"
87164,"Germany","Norway"
87164,"United Kingdom","Norway"
87164,"Norway","Norway"
87164,"Spain","Norway"
87164,"South Africa","Norway"
86804,"Australia",NA
86804,"Spain",NA
86804,"Japan",NA
77381,"United States","Mongolia"
86652,"United States","Argentina"
86652,"Argentina","Argentina"
86654,"United States","Argentina"
86654,"Argentina","Argentina"
88341,"United States","Argentina"
88341,"Argentina","Argentina"
47968,"Argentina","Argentina"
69007,"Russian Federation","Argentina"
69007,"Uruguay","Argentina"
69007,"United States","Argentina"
69007,"Argentina","Argentina"
69007,"Brazil","Argentina"
81768,"Iran","Iran"
67798,"Argentina","Argentina"
55230,"New Zealand","New Zealand"
55230,"Australia","New Zealand"
47987,"United States","Argentina"
47987,"Netherlands","Argentina"
47987,"Argentina","Argentina"
77723,"Brazil","Brazil"
77723,"Germany","Brazil"
77723,"Portugal","Brazil"
80450,"India","India"
80803,"China","China"
80803,"Russian Federation","China"
82753,"France","Ethiopia"
82753,"Germany","Ethiopia"
82753,"Sweden","Ethiopia"
82753,"China","Ethiopia"
82753,"United States","Ethiopia"
88436,"Argentina","Argentina"
88436,"United States","Argentina"
55172,"Argentina","Argentina"
72413,"Iran","Iran"
72413,"Romania","Iran"
72413,"Germany","Iran"
55631,"New Zealand","New Zealand"
55631,"Australia","New Zealand"
54762,"Australia","Australia"
63094,"Argentina","Argentina"
83052,"Canada","China"
83052,"China","China"
71639,"India",NA
71639,"United States",NA
67745,"Romania","Romania"
64754,"China","China"
87420,"United States","United States"
87542,"United States","United States"
85253,"South Africa","Congo - Kinshasa"
85253,"Belgium","Congo - Kinshasa"
55227,"New Zealand","New Zealand"
55227,"Australia","New Zealand"
55231,"New Zealand","New Zealand"
55231,"Australia","New Zealand"
55232,"New Zealand","New Zealand"
55232,"Germany","New Zealand"
55232,"Australia","New Zealand"
54758,"Australia","Australia"
85671,"United States","Argentina"
85671,"Argentina","Argentina"
82754,"Argentina","Argentina"
82754,"United States","Argentina"
82997,"Sweden","Canada"
82997,"Sweden","United States"
82997,"United States","Canada"
82997,"United States","United States"
83102,"United States","United States"
83102,"United States","Canada"
83103,"United States","Canada"
83103,"Canada","Canada"
42195,"Switzerland","Italy"
42195,"Switzerland","Hungary"
42195,"Switzerland","Denmark"
42195,"Switzerland","United States"
42195,"Switzerland","Turkey"
42195,"Switzerland","Romania"
42195,"Switzerland","Japan"
42195,"Switzerland","New Zealand"
42195,"Switzerland","Oman"
48067,"United Kingdom",NA
48067,"Brazil",NA
82813,"United States","Canada"
86815,"United States","Argentina"
86815,"United Kingdom","Argentina"
86060,"Argentina","Argentina"
85140,"United States",NA
82745,"United States","United States"
82745,"Denmark","United States"
82745,"Sweden","United States"
83107,"Australia",NA
49154,"United States","Argentina"
49154,"Argentina","Argentina"
87588,"Poland","Spain"
73140,"United States",NA
73140,"Canada",NA
83156,"Mexico",NA
83156,"United States",NA
83156,"Australia",NA
72599,"Argentina","Argentina"
68065,"Turkey","Turkey"
88518,"Argentina","Argentina"
82755,"Turkey","Turkey"
78393,"India","India"
78393,"China","India"
78393,"United Kingdom","India"
80594,"China",NA
80595,"China","China"
48227,"Switzerland","Brazil"
48227,"Germany","Brazil"
66620,"United States","Argentina"
66620,"Argentina","Argentina"
55672,"Colombia",NA
38750,"United States","Colombia"
54448,"Australia","Australia"
82916,"Russian Federation","Myanmar (Burma)"
82916,"Myanmar","Myanmar (Burma)"
82916,"France","Myanmar (Burma)"
82916,"Netherlands","Myanmar (Burma)"
82916,"India","Myanmar (Burma)"
82916,"Germany","Myanmar (Burma)"
82916,"United Kingdom","Myanmar (Burma)"
82916,"Indonesia","Myanmar (Burma)"
80598,"Netherlands","China"
80598,"China","China"
80590,"China",NA
80590,"Sweden",NA
80374,"China",NA
80376,"China","China"
80776,"United States","China"
80776,"China","China"
80775,"United States",NA
80775,"China",NA
80778,"China","China"
80778,"United States","China"
80779,"China","China"
80777,"China","China"
80589,"China","China"
80589,"United Kingdom","China"
83411,"China",NA
83411,"Taiwan",NA
83411,"United Kingdom",NA
83411,"United States",NA
83411,"France",NA
83411,"Brazil",NA
83411,"Panama",NA
83411,"Japan",NA
83411,"Viet Nam",NA
83411,"Colombia",NA
83411,"Argentina",NA
83411,"Netherlands",NA
83411,"Mexico",NA
83411,"Denmark",NA
83411,"Spain",NA
83411,"Australia",NA
83411,"Russian Federation",NA
