"reference_no","record_type","publication_type","reftitle","pubyr","author1init","author1last","author2init","author2last","otherauthors","editors","refabbr","pubtitle","pubabbr","r_journal","r_booktitle","r_school","publisher","pubcity","pubvol","pubno","firstpage","lastpage","language","doi","ref_type"
17879,"ref","journal article","Biostratigraphy and paleoecology of a diatomaceous clay unit in the Miocene Pungo River Formation of Beaufort County, North Carolina",1983,"W. H.","Abbott","J. J.","Ernissee","","",NA,"Smithsonian Contributions to Paleobiology",NA,NA,NA,NA,NA,NA,"53","","287","353","English","","auth,class"
85481,"ref","journal article","A Late Permian flora with Dicroidium from the Dead Sea region, Jordan",2008,"A.","Abu Hamad","H.","Kerp","B. Vörding, K. Bandel","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"149","","85","130","English","10.1016/j.revpalbo.2007.10.006","auth,class"
73232,"ref","journal article","Calcareous nannoplankton from the Wemmelian stratotype. In, Brönnimann, P. & Renz, H. H. (eds)",1969,"M. V.","Achuthan","H.","Stradner","","",NA,"Proceedings of the First International Conference on Planktonic Microfossils, Geneva 1967",NA,NA,NA,NA,NA,NA,"1","","1","13","English","","auth"
80950,"ref","journal article","Leaf impressions of Terminalia (Combretaceae) and Daphnogene (Lauraceae) from the Middle Siwalik of the Chatara-Barahakshetra area, eastern Nepal",2018,"P.","Adhikari","G.","Srivastava","R. C. Mehrotra, D. Adhikari, K. Shrestha, D. Uhl, K. N. Paudayal","",NA,"Bulletin of the Department of Geology, Tribhuvan University",NA,NA,NA,NA,NA,NA,"20-21","","21","28","English","10.3126/bdg.v20i0.20719","class"
73714,"ref","journal article","Conspectus Criticus Diatomacearum. Part 4",1832,"C.A.","Agardh","","","","",NA,"Lundae. Litteris Berlingianis",NA,NA,NA,NA,NA,NA,"","","48","66","English","","auth,class"
73719,"ref","journal article","Systema Algarum",1824,"C.A.","Agardh","","","","",NA,"Adumbravit C.A. Agardh. Lundae Literis Berlingianis. Lundae, xxxvii",NA,NA,NA,NA,NA,NA,"","",", 312 pp.","","English","","auth"
73805,"ref","journal article","Conspectus Criticus Diatomacearum. Part 1",1830,"C.A.","Agardh","","","","",NA,"Lundae. Litteris Berlingianis",NA,NA,NA,NA,NA,NA,"","","pp. 1-16","","English","","auth"
10708,"ref","","Prototaxopitys andrewsii, a new combination for Prototaxoxylon andrewsii Agashe & Chitnis",1977,"S. N.","Agashe","","","","",NA,"Geophytology",NA,NA,NA,NA,NA,NA,"7","","278","279","","","auth,class"
87164,"ref","journal article","Life through an Ediacaran glaciation: Shale- and diamictite-hosted organic-walled microfossil assemblages from the late Neoproterozoic of the Tanafjorden area, northern Norway",2024,"H.","Agić","S.","Jensen","G. Meinhold, A. E. S. Högström, J. O. R. Ebbestad, M. Høyberget, T. Palacios, W. L. Taylor ","",NA,"Palaeogeography, Palaeoclimatology, Palaeoecology",NA,NA,NA,NA,NA,NA,"635","111956","","","English","10.1016/j.palaeo.2023.111956","auth,class"
86804,"ref","journal article","Inventory of Paleozoic radiolarian species (1880-2016)",2017,"J. C.","Aitchison","N.","Suzuki","L. O'Dogherty","",NA,"Geodiversitas",NA,NA,NA,NA,NA,NA,"39","3","533","637","English","10.5252/g2017n3a6","auth,class"
