"reference_no","record_type","publication_type","reftitle","pubyr","author1init","author1last","author2init","author2last","otherauthors","editors","refabbr","pubtitle","pubabbr","r_journal","r_booktitle","r_school","publisher","pubcity","pubvol","pubno","firstpage","lastpage","language","doi","ref_type","aff"
85481,"ref","journal article","A Late Permian flora with Dicroidium from the Dead Sea region, Jordan",2008,"A.","Abu Hamad","H.","Kerp","B. Vörding, K. Bandel","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"149","","85","130","English","10.1016/j.revpalbo.2007.10.006","auth,class","Jordan;Germany"
87164,"ref","journal article","Life through an Ediacaran glaciation: Shale- and diamictite-hosted organic-walled microfossil assemblages from the late Neoproterozoic of the Tanafjorden area, northern Norway",2024,"H.","Agić","S.","Jensen","G. Meinhold, A. E. S. Högström, J. O. R. Ebbestad, M. Høyberget, T. Palacios, W. L. Taylor ","",NA,"Palaeogeography, Palaeoclimatology, Palaeoecology",NA,NA,NA,NA,NA,NA,"635","111956","","","English","10.1016/j.palaeo.2023.111956","auth,class","Sweden;Germany;United Kingdom;Norway;Spain;South Africa"
86804,"ref","journal article","Inventory of Paleozoic radiolarian species (1880-2016)",2017,"J. C.","Aitchison","N.","Suzuki","L. O'Dogherty","",NA,"Geodiversitas",NA,NA,NA,NA,NA,NA,"39","3","533","637","English","10.5252/g2017n3a6","auth,class","Australia;Spain;Japan"
77381,"ref","journal article","Doushantuo-type Microfossils from Latest Ediacaran Phosphorites of Northern Mongolia",2017,"R. P.","Anderson","F. A.","Macdonald","D. S. Jones, S. McMahon, D. E. G. Briggs","",NA,"Geology",NA,NA,NA,NA,NA,NA,"45","12","1079","1082","English","10.1130/G39576.1","auth,class","United States"
86652,"ref","journal article","Araucaria lefipanensis (Araucariaceae), a new species with dimorphic leaves from the Late Cretaceous of Patagonia, Argentina",2018,"A.","Andruchow-Colombo","I. H.","Escapa","N. R. Cuneo, M. A. Gandolfo","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"105","6","1","21","English","10.1002/ajb2.1113","auth","United States;Argentina"
86654,"ref","journal article","New genus of Cupressaceae from the Upper Cretaceous of Patagonia (Argentina) fills a gap in the evolution of the ovuliferous complex in the family",2022,"A.","Andruchow-Colombo","M. A.","Gandolfo","I. H. Escapa, N. R. Cuneo","",NA,"Journal of Systematics and Evolution",NA,NA,NA,NA,NA,NA,"","","1","23","English","10.1111/jse.12842","auth,class","United States;Argentina"
88341,"ref","journal article","Ginkgoites villardeseoanii sp. nov., a ginkgophyte with insect damage from the Upper Cretaceous (Maastrichtian) Lefipán Formation (Chubut, Patagonia, Argentina)",2022,"A.","Andruchow-Colombo","M. A.","Gandolfo","N. R. Cúneo, I. H. Escapa","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"133","105124","1","13","English","10.1016/j.cretres.2021.105124","auth,class","United States;Argentina"
47968,"ref","journal article","Aptian angiosperm pollen from the Ticó Flora Patagonia, Argentina",2013,"S.","Archangelsky","A.","Archangelsky","","",NA,"",NA,NA,NA,NA,NA,NA,"174","3","559","571","English","10.1086/668693","class","Argentina"
69007,"ref","journal article","A new record of late Ediacaran acritarchs from La providencia group (Tandilia System, Argentina) and its biostratigraphical significance",2019,"M. J.","Arrouy","C.","Gaucher","D. G. Poiré, S. Xiao, L. E. Gómez Peral, L. V. Warren, N. Bykova, F. Quaglio","",NA,"Journal of South American Earth Sciences",NA,NA,NA,NA,NA,NA,"","","","","English","10.1016/j.jsames.2019.05.015","auth,class","Russian Federation;Uruguay;United States;Argentina;Brazil"
81768,"ref","journal article","A new approach to the paleoecological relationship between rudists\r\nand benthic foraminifers in Maastrichtian of Tethys basin in the Central\r\nZagros, Iran",2022,"B.","Asgari‑Pirbalouti","M.","Dehghanian","","",NA,"Carbonates and Evaporites",NA,NA,NA,NA,NA,NA,"37","32","","","English","10.1007/s13146-022-00774-5","class","Iran"
67798,"ref","journal article","Microfósiles calcáreos no marinos y semillas de la Formación Piedra Clavada (Albiano) en su área tipo, provincia de Santa Cruz, Argentina",2011,"S.","Ballent","A. P.","Carignano","A. Iglesias, D. G. Poiré","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"48","4","541","555","Spanish","10.5710/AMGH.v48i4(419)","class","Argentina"
55230,"ref","journal article","Lauraceae from rainforest surrounding an early Miocene maar lake, Otago, southern New Zealand",2012,"J. M.","Bannister","J. G.","Conran","D. E. Lee","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"","178","13","34","English","10.1016/j.revpalbo.2012.03.015","auth,class","New Zealand;Australia"
47987,"ref","journal article","Cretaceous/Paleogene Floral Turnover in Patagonia: Drop in Diversity, Low Extinction, and a Classopollis Spike",2012,"V. D.","Barreda","N. R.","Cúneo","P. Wilf, E. D. Currano, R. A. Scasso, H. Brinkhuis","",NA,"PLoS ONE",NA,NA,NA,NA,NA,NA,"7","12","e52455","","English","10.1371/journal.pone.0052455","auth,class","United States;Netherlands;Argentina"
77723,"ref","journal article","A new species of Brachyphyllum from the Crato Formation (Lower Cretaceous), Araripe Basin, Brazil",2020,"M. E. P.","Batista","L.","Kunzmann","A. A. Sá, A. Á. F. Saraiva, M. I. B. Loiola","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"57","6","519","533","English","10.5710/AMGH.23.06.2020.3333","auth,class","Brazil;Germany;Portugal"
80450,"ref","journal article","Systematic descriptions, in First megafossil evidence of Cyatheaceous tree fern from the Indian Cenozoic",2014,"S.","Bera","S.","Gupta","R. Mukhopadhyay","",NA,"Journal of Earth System Science",NA,NA,NA,NA,NA,NA,"123","","1433","1438","English","10.1007/s12040-014-0460-x","auth,class","India"
80803,"ref","journal article","Systematic descriptions, in A new species of Tsuga (Pinaceae) based on lignified wood from the late Miocene of Central Yunnan, China, and its paleoenvironmental implications",2015,"O. V.","Bondarenko","H. B.","Wang","Z. K. Zhou","",NA,"Acta Geologica Sinica",NA,NA,NA,NA,NA,NA,"89","5","1429","1439","English","10.1111/1755-6724.12555","auth,class","China;Russian Federation"
82753,"ref","journal article","Miocene Ethiopian amber: A new source of fossil cryptogams",2022,"V.","Bouju","K.","Feldberg","U. Kaasalainen, A. Schäfer-Verwimp, L. Hedenäs, W. R. Buck, B. Wang, V. Perrichot, A. R. Schmidt","",NA,"Journal of Systematics and Evolution",NA,NA,NA,NA,NA,NA,"60","4","932","954","English","10.1111/jse.12796","auth,class","France;Germany;Sweden;China;United States"
88436,"ref","journal article","First South American Record of Winteroxylon, Eocene of Laguna del Hunco (Chubut, Patagonia, Argentina): New Link to Australasia and Malesia",2021,"M.","Brea","A.","Iglesias","P. Wilf, E. Moya, M. A. Gandolfo","",NA,"International Journal of Plant Sciences",NA,NA,NA,NA,NA,NA,"182","3","185","197","English","10.1086/712427","auth,class","Argentina;United States"
55172,"ref","journal article","Paleoecology and paleoenvironments of Podocarp trees in the Ameghino Petrified forest (Golfo San Jorge Basin, Patagonia, Argentina): Constraints for Early Paleogene paleoclimate",2011,"M.","Brea","S. D.","Matheos","M. S. Raigemborn, A. Iglesias, A. F. Zucol, M. Prámparo","",NA,"Geologica Acta",NA,NA,NA,NA,NA,NA,"9","1","13","28","English","10.1344/105.000001647","auth","Argentina"
72413,"ref","journal article","Early Cretaceous calcareous algae from central Iran (Taft Formation, south of Aliabad, near Yazd)",2012,"I. I.","Bucur","K.","Rashidi","B. Senowbari-Daryan","",NA,"Facies",NA,NA,NA,NA,NA,NA,"58","","605","636","English","10.1007/s10347-012-0303-7","auth,class","Iran;Romania;Germany"
55631,"ref","journal article","Proteaceae leaf fossils from the Oligo–Miocene of New Zealand: new species and evidence of biome and trait conservatism",2012,"R. J.","Carpenter","J. M.","Bannister","D. E. Lee, G. J. Jordan","",NA,"Australian Systematic Botany",NA,NA,NA,NA,NA,NA,"25","6","375","389","English","10.1071/SB12018","auth,class","New Zealand;Australia"
54762,"ref","journal article","Near-tropical Early Eocene terrestrial temperatures at the Australo-Antarctic margin, western Tasmania",2012,"R. J.","Carpenter","G. J.","Jordan","M. K. Macphail, R. S. Hill","",NA,"Geology",NA,NA,NA,NA,NA,NA,"40","3","267","270","English","10.1130/G32584.1","auth,class","Australia"
63094,"ref","journal article","Solenoporacean red algae from lower Danian (Paleogene) coral reefs of northern Patagonia, La Pampa, Argentina",2016,"M. G.","Carrera","S.","Casadío","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"53","5","623","628","English","10.5710/AMGH.10.02.2016.2956","class","Argentina"
83052,"ref","journal article","A stem group Codium alga from the latest Ediacaran of South China provides taxonomic insight into the early diversification of the plant kingdom",2022,"S.","Chai","C.","Aria","H. Hua","",NA,"BMC Biology",NA,NA,NA,NA,NA,NA,"20","199","","","English","10.1186/s12915-022-01394-0","auth,class","Canada;China"
71639,"ref","journal article","A Dicroidium flora from the Triassic of Allan Hills, South Victoria Land, Transantarctic Mountains, Antarctica",2013,"S.","Chatterjee","R.","Tewari","D. Agnihotri","",NA,"Alcheringa",NA,NA,NA,NA,NA,NA,"37","2","209","221","English","10.1080/03115518.2013.736799","auth,class","India;United States"
67745,"ref","journal article","Middle Miocene carbonate facies with rhodoliths from the NW\r\nTransylvanian Basin (Vălenii Șomcutei Cave, Romania)",2019,"R.","Chelaru","E.","Săsăran","T. Tămaș, R. Bălc, I. I. Bucur, G. Pleș","",NA,"Facies",NA,NA,NA,NA,NA,NA,"65","4","","","English","10.1007/s10347-018-0546-z","auth,class","Romania"
64754,"ref","journal article","A Late Carboniferous algal mound from the Tarim Basin, NW China: internal structure and palaeoecology",2012,"Z.-Q.","Chen","","","","",NA,"Geological Journal",NA,NA,NA,NA,NA,NA,"47","","477","494","English","10.1002/gj.2438","class","China"
87420,"ref","journal article","A palynological biozonation for the Maastrichtian Stage (Upper Cretaceous) of South Carolina, USA",2002,"R. A.","Christopher","D. C.","Prowell","","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"23","","639","669","English","10.1006/cres.2002.1029","auth,class","United States"
87542,"ref","journal article","A palynological biozonation for the uppermost Santonian and Campanian Stages (Upper Cretaceous) of South Carolina, USA",2010,"R. A.","Christopher","D. C.","Prowell","","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"31","2","101","129","English","10.1016/j.cretres.2009.09.004","auth,class","United States"
85253,"ref","journal article","New and interesting Surirella taxa (Surirellaceae, Bacillariophyta) from the Congo Basin (DR Congo)",2015,"C.","Cocquyt","J. C.","Taylor","","",NA,"European Journal of Taxonomy",NA,NA,NA,NA,NA,NA,"133","","1","15","English","10.5852/ejt.2015.133","auth,class","South Africa;Belgium"
55227,"ref","journal article","Earliest orchid macrofossils: early Miocene Dendrobium and Earina (Orchidaceae: Epidendroideae) from New Zealand",2009,"J. G.","Conran","J. M.","Bannister","D. E. Lee","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"","96","466","474","English","10.3732/ajb.0800269","auth,class","New Zealand;Australia"
55231,"ref","journal article","Conran, J. G., Bannister, J. M. and Lee, D. E. 2013. Fruits and leaves with cuticle of Laurelia otagoensis sp. nov. (Atherospermataceae) from the early Miocene of Otago (New Zealand). Alcheringa: DOI:10.1080/03115518.2013.798765",2013,"J. G.","Conran","J. M.","Bannister","D. E. Lee","",NA,"Alcheringa",NA,NA,NA,NA,NA,NA,"","37","1","14","English","10.1080/03115518.2013.798765","auth,class","New Zealand;Australia"
55232,"ref","journal article","Leaf fossils of Luzuriaga and a monocot flower with in situ pollen of Liliacidites contortus Mildenh. & Bannister sp. nov. (Alstroemeriaceae) from the early Miocene",2014,"J. G.","Conran","J. M.","Bannister","D. C. Mildenhall, D. E. Lee, J. Chacón, S. S. Renner","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"","101","141","155","English","10.3732/ajb.1300351","auth,class","New Zealand;Germany;Australia"
54758,"ref","journal article","Early Eocene Ripogonum (Liliales: Ripogonaceae) leaf macrofossils from southern Australia",2009,"J. G.","Conran","R. J.","Carpenter","G. J. Jordan","",NA,"Australian Systematic Botany",NA,NA,NA,NA,NA,NA,"22","3","219","228","English","10.1071/SB08050","auth,class","Australia"
85671,"ref","journal article","Pollen from the K–Pg boundary of the La Colonia Formation, Patagonia, Argentina",2023,"F.","De Benedetti","M. C.","Zamaloa","M. A. Gandolfo, N. R. Cúneo","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"316","104933","1","27","English","10.1016/j.revpalbo.2023.104933","auth,class","United States;Argentina"
82754,"ref","journal article","New physaloid fruit-fossil species from early Eocene South America",2020,"R.","Deanna","P.","Wilf","M. A. Gandolfo","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"107","12","1749","1762","English","10.1002/ajb2.1565","auth,class","Argentina;United States"
82997,"ref","journal article","Ulmus leaves and fruits from the Early-Middle Eocene of northwestern North America: systematics and implications for character evolution within Ulmaceae",2005,"T.","Denk","R.","Dillhoff","","",NA,"Canadian Journal of Botany",NA,NA,NA,NA,NA,NA,"83","12","1663","1681","English","10.1139/b05-122","auth,class","Sweden;United States"
