reference_no,publication_type,reftitle,pubyr,author1last,pubtitle,language,doi,aff1,aff2,aff3,aff4,aff5,aff6,aff7,aff8,aff9
43748,journal article,"Determinación xilológica de la madera fósil de una Fagaceae, de la formación Río Turbio, (Eoceno), Santa Cruz, Argentina",1990,Ancibor,Ameghiniana,Spanish,,Argentina,,,,,,,,
43756,journal article,Nuevos hallazgos de microfloras y anuros Paleógenos en el Noroeste de Patagonia: implicancias Paleoambientales y Paleobiogeográficas,1990,Baez,Ameghiniana,Spanish,,Argentina,,,,,,,,
55894,journal article,"Estudo palinilogico de sedimentos da Bacia de Ico, Cretaceo do Estado do Ceara, Brasil",1990,de Lima,"Bol. IG Usp, Ser. Cient",Portugese,,Brazil,,,,,,,,
14593,journal article,Middle Triassic radiolarians from Slovenia (Yugoslavia),1990,Gorican,Geologija,English,,Slovenia,,,,,,,,
26197,journal article,The lower Triassic sequences of the Dolomites (Italy) and transdanubian mid-mountains (Hungary) and their correlation,1990,Broglio Loriga,Memorie di Scienze Geologiche,English,,Italy,Hungary,,,,,,,
9152,journal article,Das korallenführende Kimmeridgium der nordwestlichen iberischen Ketten und angrenzender Gebiete: Mikrofauna und -flora der Korallenkalke,1990,Wnendt-Juber,Palaeontographica Abteilung A,German,,Germany,,,,,,,,
6420,book/book chapter,"Cenomanian Angiosperm Leaf Megafossils, Dakota Formation, Rose Creek Locality, Jefferson County, Southeastern Nebraska",1990,Upchurch,U.S. Geological Survey Bulletin 1915,,,USA,,,,,,,,
78197,book,The diatoms: biology and morphology of the genera,1990,Mann,,English,,UK,,,,,,,,
73842,book,The diatoms biology and morphology of the genera,1990,Round,,English,,,,,,,,,,
11602,journal article,"Notas sobre la flora fosil de la zona de Tico, Provincia de Santa Cruz. XI. Morfologia y estructura de tres megasporas",1991,Archangelsky,Ameghiniana,Spanish,,Argentina,,,,,,,,
13635,book/book chapter,,1991,Wu,"Organisms and Communities of Permian Reef of Xiangbo, China",English,,China,,,,,,,,
83118,journal article,"Cruciptera, a new Juglandaceous winged fruit from the Eocene and Oligocene of western North America",1991,Manchester,Systematic Botany,English,10.2307/2418873,USA,,,,,,,,
41878,journal article,"Late Permian fusulinacean fauna of Doi Pha Phlung, north Thailand",1991,Ueno,"Transactions and Proceedings of the Paleontological Society of Japan, N.S.",English,,Japan,,,,,,,,
83865,serial monograph,A Catalogue of Fossil Plants from India Part 2: Palaeozoic and Mesozoic Megafossils,1991,Chandra,,English,,India,,,,,,,,
83577,serial monograph,A Catalogue of Fossil Plants from India Part 6: Cenozoic (Quaternary) Palynology and Palaeobotany,1991,Chauhan,,English,,India,,,,,,,,
31651,M.S. thesis,"A vertebrate fauna from the Upper Triassic Owl Rock Member of the Chinle Formation in Northern Arizona, Northern Arizona University",1991,Kirby,,English,,USA,,,,,,,,
82996,serial monograph,A Catalogue of Fossil Plants from India Part 4: Cenozoic (Tertiary) Megafossils,1991,Srivastava,,English,,India,,,,,,,,
84749,serial monograph,A Catalogue of Fossil Plants from India Part 3A: Palaeozoic and Mesozoic Spores and Pollen,1991,Srivastava,,English,,India,,,,,,,,
43563,journal article,"Muricingulisporis chenquensis, una nueva especie de espora de Pteridophyta del terciario de Patagonia, Argentina",1992,Barrera,Ameghiniana,Spanish,,Argentina,,,,,,,,
322,,"Paleontology of the Eocene Bateque Formation, Baja California Sur, Mexico",1992,Squires,Contributions in Science (Natural History Museum of Los Angeles County),,,USA,,,,,,,,
26260,journal article,Mittel bis oberdevonische Karbonate auf Blatt Weilburg (Rheinisches Schiefergebirge) und in Randgebieten: Initialstadien der Riffentwicklung auf Vulkanschwellen,1992,Buggisch,Geologisches Jahrbuch Hessen,German,,Germany,,,,,,,,
3977,,"Geologie, Paläontologie und Palökologie der südostbayerischen unter-priabonen (Ober-Eozän) Riffkalkvorkommen bei Hallthurm (Nördliche Kalkalpen) und der Kirchbergs bei Neubeuern (Helvetikum)",1992,Darga,Münchner Geowissenschaftliche Abhandlungen,German,,Germany,,,,,,,,
78726,book,Taxonomic revision of the Neogene marine palynomorphs Cyclopsiella granosa (Matsuoka) and Batiacasphaera minuta (Matsuoka) and a new species of Pyxidinopsis Habib (Dinophyceae) from the Miocene of the Labrador Sea,1992,Matsuoka,Neogene and Quaternary Dinoflagellate cysts and Acritarchs ,English,,Japan,,,,,,,,
6458,journal article,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",1992,McLoughlin,Palaeontographica Abteilung B,,,Australia,,,,,,,,
55877,journal article,"Late cretaceous palynofloras (sporomorphs and dinocysts) from the Kerguelen Plateau, southern Indian Ocean (Sites 748 and 750)",1992,Mohr,"Proceedings of the Ocean Drilling Program, Scientific Results",English,,USA,Switzerland,Germany,,,,,,
42175,serial monograph,"Fusulinids, in Perm' Darvaz-Zaalayskoy zony Pamira: fusulinidy, ammonoidei, stratigrafiya",1992,Leven,"Rossiyskaya Akademiya Nauk, Trudy Paleontologicheskogo Instituta",Russian,,Russia,,,,,,,,
6789,serial monograph,Bennettitales of the English Wealden,1992,Watson,The Palaeontographical Society,,10.1080/25761900.2022.12131771,UK,,,,,,,,
29190,book/book chapter,Proterozoic and earliest Cambrian skeletal metazoans,1992,Bengtson,The Proterozoic Biosphere: A Multidisciplinary Study,English,,Sweden,USA,,,,,,,
32453,journal article,"Lower and Middle Triassic radiolarians from Mt. Kinkazan, Gifu Prefecture, central Japan",1992,Sugiyama,"Transactions and Proceedings of the Paleontological Society of Japan, N.S.",English,,Japan,,,,,,,,
55224,journal article,"Miocene broad-leaved Podocarpus from Foulden Hills, New Zealand",1993,Pole,Alcheringa,English,,Australia,,,,,,,,
45340,journal article,"Organic-walled microfossils from the Ganurgarh Shale Formation (Bhander Group, Vindhyan Supergroup), Hoshangabad, Madhya Pradesh, India",1993,Maithy,Journal of The Palaeontological Society of India,English,,India,,,,,,,,
32270,serial monograph,"Biochronology and paleontology of uppermost Triassic (Rhaetian) radiolarians, Queen Charlotte Islands, British Columbia, Canada",1993,Carter,Memoires de Geologie,English,,Switzerland,,,,,,,,
87598,journal article,"Devonian (Frasnian) radiolarians from the Gogo Formation, Canning Basin, Western Australia",1993,Aitchison,Palaeontographica Abteilung A,English,,Australia,,,,,,,,
8995,serial monograph,"Flora of the Ravenscrag Formation (Paleocene), Southwestern Saskatchewan, Canada",1993,McIver,Palaeontographica Canadiana,,,Canada,,,,,,,,
9317,journal article,New anatomical characters in fossil coralline algae and their taxonomic implications,1993,Braga,Palaeontology,,,Spain,UK,USA,,,,,,
45083,journal article,"Neoproterozoic (Vendian) Phytoplankton from the Sieberian Platform, Yakutia",1993,Moczydlowska,Palaeontology,English,,Sweden,Russia,,,,,,,
85150,journal article,Marine phytoplankton of the world from class to genus,1993,Chrétiennot-Dinet,Phycologia,English,,France,,,,,,,,
47986,journal article,Eocene to Pliocene coralline algae in the Queensland Plateau (northeastern Australia),1993,Martín,"Proceedings of the Ocean Drilling Program, Scientific Results",English,,USA,Spain,,,,,,,
55559,journal article,"Aptian to Cenomanian palynomorphs from the Qarun 2-1 borehole, Western Desert, Egypt",1993,El Beialy,Qatar University Science Journal,English,,Qatar,,,,,,,,
78598,journal article,"Fossil flora from the Himalayan foot-hills of Darjeeling District, West Bengal and its palaeoecological and phytogeographical significance",1993,Antal,The Palaeobotanist,English,,India,,,,,,,,
41887,journal article,"Middle Permian foraminifers from Ban Nam Suai Tha Sa-at, Changwat Loei, northeast Thailand",1993,Ueno,"Transactions and Proceedings of the Paleontological Society of Japan, N.S.",English,,Japan,,,,,,,,
48164,journal article,"Estudio palinológico de la Formación Baqueró (Cretácico), Provincia de Santa Cruz, Argentina. VI",1994,Archangelsky,Ameghiniana,Spanish,,Argentina,,,,,,,,
57671,journal article,Algumas especies novas de graos de polen do Cretaceo Inferior do Nordeste do Brasil,1994,Dino,Boletim de geociencias da Petrobrás,Portugese,,Brazil,,,,,,,,
47703,serial monograph,"Paleobiology of the Neoproterozoic Svanbergfjellet Formation, Spitsbergen",1994,Butterfield,Fossils & Strata,English,,USA,,,,,,,,
69092,journal article,Lower Jurassic beds with bivalves in south Slovenia (Spodnjejurske plasti s školjkami v južni Sloveniji),1994,Buser,Geologija (Ljubljana),English,10.5474/geologija.1995.001,Slovenia,,,,,,,,
55216,book chapter,The Oligo-Miocene coal floras of southeastern Australia,1994,Blackburn,History of the Australian Vegetation: Cretaceous to Recent,English,,Australia,,,,,,,,
54802,book chapter,The early Tertiary macrofloras of continental Australia,1994,Christophel,History of the Australian Vegetation. Cretaceous to Recent,English,,Australia,,,,,,,,
57056,journal article,"Palynology of the Yesomma Formation in northern Somalia: A study of pollen, spores and associated phytoplankton from the Late Cretaceous Palmae Province",1994,Schrank,Palaeontographica Abt. B,English,,Germany,,,,,,,,
47732,journal article,"Algues calcaires de la zone de Resita-Moldova Noua (Carpathes méridionales, Roumanie)",1994,Bucur,Revue de Paléobiologie,French,,Romania,,,,,,,,
9719,journal article,"Oligocene coral and algal reef and related facies of Valzemola (Savona, NW Italy)",1994,Fravega,Rivista Italiana di Paleontologia e Stratigrafia,,,Italy,,,,,,,,
74170,book chapter,"Carbonate buildup in the Lakadong Formation of the South Shillong Plateau, NE India: A micropaleontological perspective ",1994,Jauhri,Studies on ecology and paleoecology of benthic communities,English,,India,,,,,,,,
6444,serial monograph,"The Megaflora from the Quantico Locality (Upper Albian), Lower Cretaceous Potomac Group of Virginia",1994,Upchurch,Virginia Museum of Natural History,,,USA,,,,,,,,
75360,book chapter,"Membrane heredity, symbiogenesis, and the multiple origins of algae",1995,Cavalier-Smith,Biodiversity and evolution,English,,Canada,,,,,,,,
7477,journal article,Palaeocarpological investigations in the Villafranchian (Pliocene) of Italy,1995,Mai,Bollettino Museo Regionale di Scienze Naturali,,,Germany,,,,,,,,
71506,serial monograph,"Keuper (Triassic) Flora from Middle Asia (Madygen, Southern Fergana)",1995,Dobruskina,Bulletin of the New Mexico Museum of Natural History & Science,English,,Israel,,,,,,,,
15344,abstract,Reefal buildups by dasycladacean algae in the Tithonian of Languedoc (France),1995,Bodeur,Coral Reefs in the Past Present and Future. Publ. Serv. Geol. Luxembourg,English,,France,,,,,,,,
